#           y           U_x           U_y           U_z
            0             0             0             0
  5.25253e-05     0.0571102   -0.00732507  -2.85307e-21
  0.000105051     0.0908511    -0.0102237   3.33895e-21
  0.000157576      0.124376    -0.0120843  -6.71691e-21
  0.000210101      0.157366    -0.0131103   1.50257e-21
  0.000262626      0.189646    -0.0136588   6.32209e-21
  0.000315152      0.221096      -0.01393  -2.92086e-21
  0.000367677      0.251651    -0.0140486  -1.14432e-20
  0.000420202      0.281319     -0.014094  -2.02303e-20
  0.000472727      0.309838    -0.0141152  -2.02561e-20
  0.000525253      0.337417    -0.0141473   1.02777e-21
  0.000577778       0.36425    -0.0141932   2.52051e-20
  0.000630303      0.390148    -0.0142613    3.8439e-20
  0.000682828      0.415023    -0.0143532   2.45987e-20
  0.000735354      0.439518    -0.0144539   6.96418e-22
  0.000787879      0.462549    -0.0145784  -1.05676e-20
  0.000840404       0.48544     -0.014704  -1.99349e-20
  0.000892929      0.506916    -0.0148406  -1.00336e-20
  0.000945455      0.528392    -0.0149771  -1.32285e-22
   0.00099798      0.548242    -0.0151135             0
   0.00105051       0.56807    -0.0152499             0
   0.00110303      0.586706    -0.0153792             0
   0.00115556      0.604767     -0.015505             0
   0.00120808      0.622581    -0.0156282             0
   0.00126061      0.638736    -0.0157346             0
   0.00131313      0.654891     -0.015841             0
   0.00136566      0.670367    -0.0159387             0
   0.00141818      0.684457    -0.0160187             0
   0.00147071      0.698546    -0.0160987             0
   0.00152323      0.712084    -0.0161707             0
   0.00157576      0.723931    -0.0162185             0
   0.00162828      0.735777    -0.0162663             0
   0.00168081      0.747624    -0.0163141             0
   0.00173333      0.757391    -0.0163303             0
   0.00178586      0.766798     -0.016341             0
   0.00183838      0.776205    -0.0163517             0
   0.00189091        0.7853    -0.0163576             0
   0.00194343      0.792053    -0.0163268             0
   0.00199596      0.798805     -0.016296             0
   0.00204848      0.805557    -0.0162653             0
   0.00210101      0.812292    -0.0162342             0
   0.00215354      0.816149    -0.0161567             0
   0.00220606      0.820007    -0.0160791             0
   0.00225859      0.823864    -0.0160016             0
   0.00231111      0.827722     -0.015924             0
   0.00236364       0.83007    -0.0158223             0
   0.00241616      0.830787    -0.0156943             0
   0.00246869      0.831505    -0.0155663             0
   0.00252121      0.832223    -0.0154383             0
   0.00257374      0.832941    -0.0153104             0
   0.00262626      0.832067    -0.0151558             0
   0.00267879      0.829602    -0.0149747             0
   0.00273131      0.827137    -0.0147936             0
   0.00278384      0.824671    -0.0146125             0
   0.00283636      0.822206    -0.0144314             0
   0.00288889      0.818105    -0.0142226             0
   0.00294141      0.812489    -0.0139883             0
   0.00299394      0.806874     -0.013754             0
   0.00304646      0.801258    -0.0135197             0
   0.00309899      0.795642    -0.0132854             0
   0.00315152      0.787168    -0.0130062             0
   0.00320404      0.778676    -0.0127268             0
   0.00325657      0.770185    -0.0124474             0
   0.00330909      0.761694    -0.0121679             0
   0.00336162      0.750879    -0.0118535  -7.63548e-22
   0.00341414      0.739756    -0.0115345  -1.62866e-21
   0.00346667      0.728632    -0.0112155  -2.49378e-21
   0.00351919      0.717155    -0.0108915  -3.07482e-21
   0.00357172      0.703631    -0.0105387  -2.01338e-21
   0.00362424      0.690107    -0.0101859  -9.51933e-22
   0.00367677      0.676583   -0.00983305   1.09513e-22
   0.00372929      0.661416   -0.00945944   2.06975e-21
   0.00378182      0.645713   -0.00907904   4.32323e-21
   0.00383434       0.63001   -0.00869863   6.57671e-21
   0.00388687      0.612988   -0.00830405   4.49818e-21
   0.00393939      0.595321   -0.00790252   2.95489e-22
   0.00399192      0.577653   -0.00750099   -3.9072e-21
   0.00404444      0.558456   -0.00708695  -4.22036e-21
   0.00409697       0.53903   -0.00667105  -3.95242e-21
   0.00414949      0.519096   -0.00625273  -2.95318e-21
   0.00420202       0.49811   -0.00582941  -4.37091e-22
   0.00425455      0.477105   -0.00540608   2.04773e-21
   0.00430707      0.454745   -0.00498233   2.22347e-21
    0.0043596      0.432385   -0.00455857   2.39921e-21
   0.00441212      0.408929    -0.0041406   2.34917e-21
   0.00446465      0.385364   -0.00372325   2.26552e-21
   0.00451717      0.360764   -0.00331853  -3.98498e-22
    0.0045697      0.335921   -0.00291878  -2.13451e-21
   0.00462222      0.310424   -0.00253241  -1.37351e-21
   0.00467475      0.284392   -0.00216219  -6.04278e-22
   0.00472727       0.25795   -0.00180619   1.94617e-22
    0.0047798      0.231023   -0.00147013   1.06588e-21
   0.00483232       0.20355    -0.0011631    6.0458e-22
   0.00488485      0.175675  -0.000882353  -1.28812e-23
   0.00493737      0.147396  -0.000632367  -4.01901e-22
    0.0049899      0.118728  -0.000417142       9.7e-23
   0.00504242     0.0896791  -0.000241404             0
   0.00509495     0.0602362  -0.000113154             0
   0.00514747     0.0304687  -2.96694e-05             0
       0.0052             0             0             0
