#           y           U_x           U_y           U_z
      -0.0049             0             0             0
  -0.00479798   0.000401938  -0.000109906   1.95283e-23
  -0.00469596    0.00192646    -0.0004254  -4.73252e-24
  -0.00459394    0.00456519  -0.000932111   1.66798e-22
  -0.00449192    0.00833078   -0.00160169  -3.95781e-22
   -0.0043899     0.0132028   -0.00241624   1.42438e-21
  -0.00428788     0.0192106   -0.00336546  -2.97336e-22
  -0.00418586     0.0263114   -0.00442449   1.66794e-22
  -0.00408384     0.0344688   -0.00557908  -2.45944e-22
  -0.00398182     0.0437014   -0.00681616  -8.99984e-23
   -0.0038798     0.0540204   -0.00812276   8.64605e-21
  -0.00377778     0.0654113   -0.00948515  -6.88837e-21
  -0.00367576     0.0778283    -0.0108899  -1.80302e-21
  -0.00357374     0.0911444    -0.0123301   1.13936e-22
  -0.00347172      0.105102     -0.013807  -1.02531e-21
   -0.0033697      0.120093    -0.0152949    -1.319e-21
  -0.00326768       0.13608    -0.0167843   1.80814e-21
  -0.00316566      0.152104    -0.0183073   5.42146e-22
  -0.00306364      0.169436    -0.0198024   2.77294e-21
  -0.00296162      0.186564    -0.0212885   7.63295e-21
   -0.0028596      0.204562    -0.0227737   3.19715e-20
  -0.00275758      0.222513    -0.0242139   1.34284e-20
  -0.00265556      0.241434    -0.0257168  -6.31786e-20
  -0.00255354      0.259804    -0.0270707  -3.16783e-20
  -0.00245152      0.279485    -0.0285889   3.51275e-20
  -0.00234949       0.29819    -0.0299017   1.97229e-20
  -0.00224747      0.317161    -0.0312272   1.13529e-20
  -0.00214545      0.336668    -0.0326137  -5.24987e-20
  -0.00204343      0.355343    -0.0338434   1.83698e-20
  -0.00194141      0.373629    -0.0349979   1.47269e-20
  -0.00183939      0.392078    -0.0361741   3.75685e-21
  -0.00173737      0.410308    -0.0373187   -2.9059e-20
  -0.00163535      0.428049    -0.0383928   3.50955e-20
  -0.00153333      0.445176    -0.0393816  -1.86763e-20
  -0.00143131       0.46156    -0.0402699  -8.35678e-22
  -0.00132929      0.477352    -0.0410914   6.07273e-22
  -0.00122727      0.492471    -0.0418405   9.82094e-23
  -0.00112525      0.506838    -0.0425117  -3.73513e-23
  -0.00102323       0.52038    -0.0431002  -3.01245e-23
 -0.000921212      0.532971    -0.0435907  -7.03717e-23
 -0.000819192      0.544497    -0.0439695  -6.68251e-22
 -0.000717172      0.554993    -0.0442525  -9.70154e-22
 -0.000615152      0.564408    -0.0444385   2.38622e-21
 -0.000513131      0.572694    -0.0445269   5.07363e-22
 -0.000411111      0.579803    -0.0445171   2.81982e-23
 -0.000309091      0.585691    -0.0444087   -3.8929e-24
 -0.000207071      0.590319    -0.0442018  -5.36537e-22
 -0.000105051      0.593654    -0.0438967  -1.08796e-24
  -3.0303e-06      0.595677    -0.0434901  -5.78775e-23
  9.89899e-05      0.596359    -0.0430042  -9.34008e-29
   0.00020101      0.595714    -0.0424089  -1.31509e-25
   0.00030303      0.593707    -0.0417168             0
  0.000405051      0.590343    -0.0409318   2.65855e-22
  0.000507071      0.585635    -0.0400586   1.70898e-24
  0.000609091      0.579607    -0.0391023  -2.70631e-22
  0.000711111      0.572287    -0.0380684   9.46147e-22
  0.000813131      0.563712    -0.0369627  -2.44908e-24
  0.000915152      0.553922     -0.035791  -4.00621e-21
   0.00101717      0.542967    -0.0345595  -6.59491e-21
   0.00111919        0.5309    -0.0332745   6.48496e-21
   0.00122121      0.517781    -0.0319423  -1.37942e-20
   0.00132323       0.50368    -0.0305697  -7.37392e-21
   0.00142525      0.488669    -0.0291636   3.19687e-21
   0.00152727      0.472833    -0.0277307   2.80247e-20
   0.00162929       0.45626    -0.0262783             0
   0.00173131      0.439039    -0.0248288             0
   0.00183333      0.421285    -0.0233834    2.4075e-20
   0.00193535      0.403096    -0.0219466   1.09717e-20
   0.00203737       0.38441     -0.020494  -5.42221e-21
   0.00213939      0.365474      -0.01906   -4.7423e-20
   0.00224141      0.346433    -0.0176918   -3.3159e-20
   0.00234343      0.327259    -0.0163365  -7.14677e-21
   0.00244545       0.30801     -0.014989   1.13785e-19
   0.00254747      0.288985    -0.0137441  -3.64485e-20
   0.00264949      0.270027    -0.0125035  -9.20006e-20
   0.00275152      0.251357    -0.0113311  -2.03404e-20
   0.00285354      0.233023     -0.010218   1.25051e-20
   0.00295556      0.215025   -0.00914399   5.83775e-20
   0.00305758      0.198084    -0.0081872   4.45032e-20
    0.0031596      0.180717   -0.00721586   8.14084e-21
   0.00326162      0.165215   -0.00640322   5.00435e-21
   0.00336364      0.148495   -0.00553158   7.51378e-22
   0.00346566      0.134417   -0.00485552  -2.28783e-21
   0.00356768      0.119144   -0.00412045  -1.16631e-22
    0.0036697      0.105726    -0.0035207  -2.09753e-22
   0.00377172     0.0930959   -0.00297701   5.39468e-21
   0.00387374     0.0804541   -0.00244974  -1.41197e-21
   0.00397576     0.0689824   -0.00200082  -6.69915e-22
   0.00407778      0.058742   -0.00162443    1.1544e-20
    0.0041798     0.0491717   -0.00128958   2.89132e-22
   0.00428182     0.0403463  -0.000998212  -7.69206e-21
   0.00438384       0.03231  -0.000749646  -1.16301e-21
   0.00448586     0.0250821   -0.00054152  -2.31941e-22
   0.00458788     0.0187676  -0.000373501   6.70708e-23
    0.0046899     0.0136117  -0.000248867   4.34228e-22
   0.00479192    0.00899747   -0.00014713   1.33041e-23
   0.00489394    0.00538857  -7.67119e-05  -8.25538e-22
   0.00499596    0.00274169  -3.21148e-05  -2.36399e-23
   0.00509798   0.000904141  -7.17139e-06  -1.17233e-25
       0.0052  -3.98709e-18   4.22563e-21             0
