#           y           U_x           U_y           U_z
      -0.0049             0             0             0
  -0.00479798    -0.0149867  -5.43621e-05   2.55119e-23
  -0.00469596     -0.027638  -0.000217234  -1.47148e-22
  -0.00459394    -0.0380931   -0.00048551   1.22506e-21
  -0.00449192    -0.0462914  -0.000863464   3.33327e-22
   -0.0043899    -0.0523216   -0.00134937  -3.06354e-21
  -0.00428788    -0.0562975   -0.00193384   8.13441e-22
  -0.00418586    -0.0581615    -0.0026272   2.21553e-21
  -0.00408384    -0.0581049   -0.00342188   4.59381e-21
  -0.00398182    -0.0561465   -0.00431333  -3.91472e-22
   -0.0038798    -0.0523415    -0.0053001  -5.08403e-21
  -0.00377778    -0.0467965   -0.00637748             0
  -0.00367576    -0.0397845   -0.00753979   1.99769e-20
  -0.00357374    -0.0310139   -0.00880562   2.69035e-20
  -0.00347172    -0.0210046    -0.0101442  -4.10673e-20
   -0.0033697   -0.00967184      -0.01155  -6.12161e-20
  -0.00326768    0.00301165    -0.0130511  -3.41463e-20
  -0.00316566     0.0165818    -0.0146075  -1.32372e-20
  -0.00306364     0.0313665    -0.0162334   4.20998e-20
  -0.00296162     0.0469605    -0.0179209   7.41748e-20
   -0.0028596     0.0630408    -0.0196214   5.36099e-20
  -0.00275758     0.0801618    -0.0214096  -7.58857e-20
  -0.00265556     0.0976099    -0.0232062  -9.97442e-20
  -0.00255354      0.116115    -0.0250926   1.62761e-20
  -0.00245152      0.135055    -0.0270066   3.31827e-20
  -0.00234949      0.154701    -0.0289709   6.72262e-21
  -0.00224747      0.174478    -0.0309183   2.42495e-20
  -0.00214545      0.194983    -0.0329555   2.36204e-20
  -0.00204343      0.215644    -0.0349738   2.19403e-20
  -0.00194141      0.236429    -0.0369674   3.01761e-20
  -0.00183939      0.257715    -0.0390326   3.10697e-20
  -0.00173737      0.279021    -0.0410556  -4.37767e-20
  -0.00163535      0.300416    -0.0430663  -2.94216e-20
  -0.00153333      0.321857    -0.0450579  -1.69541e-20
  -0.00143131      0.343238    -0.0470027  -2.08166e-20
  -0.00132929      0.364548    -0.0489113   3.68233e-20
  -0.00122727      0.385747    -0.0507899   1.74107e-20
  -0.00112525      0.406726    -0.0526195  -1.97512e-20
  -0.00102323      0.427426    -0.0544002   1.28716e-20
