#           y           U_x           U_y           U_z
      -0.0049             0             0             0
  -0.00479798    -0.0168473   1.60642e-05   3.85696e-23
  -0.00469596    -0.0319163   5.50245e-05  -1.12852e-23
  -0.00459394    -0.0452684   0.000105611  -3.50705e-22
  -0.00449192    -0.0568844    0.00015499  -2.90315e-21
   -0.0043899    -0.0668225   0.000191547  -1.47037e-22
  -0.00428788    -0.0749746   0.000207749   2.42903e-21
  -0.00418586    -0.0815224   0.000192897  -4.76427e-22
  -0.00408384     -0.086332   0.000130606  -1.43305e-21
  -0.00398182    -0.0894866    1.9113e-05   -2.2771e-20
   -0.0038798    -0.0910672  -0.000145279   2.88446e-20
  -0.00377778    -0.0909905   -0.00038064   5.17026e-22
  -0.00367576    -0.0893476  -0.000692285  -6.91205e-21
  -0.00357374     -0.086349   -0.00107498  -4.34865e-21
  -0.00347172    -0.0818763   -0.00153745   5.99662e-20
   -0.0033697    -0.0760333    -0.0020794    4.4951e-20
  -0.00326768    -0.0689664   -0.00271144  -8.72149e-20
  -0.00316566      -0.06074   -0.00341131  -5.14907e-20
  -0.00306364     -0.051016    -0.0042376   1.46887e-20
  -0.00296162     -0.040518   -0.00511581   3.23129e-20
   -0.0028596    -0.0288582   -0.00609733   8.75258e-21
  -0.00275758    -0.0167027    -0.0071144  -3.91384e-20
  -0.00265556   -0.00310471   -0.00826867  -2.57611e-20
  -0.00255354     0.0107292   -0.00943601             0
  -0.00245152     0.0261465    -0.0107613   1.85122e-20
  -0.00234949     0.0419001     -0.012111    6.3355e-20
  -0.00224747     0.0587996    -0.0135772   1.36698e-20
  -0.00214545      0.075993    -0.0150739   -6.2019e-20
  -0.00204343     0.0942131    -0.0166616  -5.86345e-20
  -0.00194141      0.112916    -0.0183041  -3.22129e-20
  -0.00183939      0.132066    -0.0199838   1.18806e-19
  -0.00173737       0.15206    -0.0217374   2.66689e-20
  -0.00163535      0.172486    -0.0235316  -1.51209e-20
  -0.00153333      0.193376    -0.0253614   -4.1487e-20
  -0.00143131      0.214686     -0.027218  -6.13732e-21
  -0.00132929      0.236532    -0.0291085   8.58512e-20
  -0.00122727      0.258796    -0.0310215   5.64871e-20
  -0.00112525      0.281383    -0.0329451  -1.38527e-19
  -0.00102323      0.304242     -0.034871   3.22066e-20
 -0.000921212      0.327333    -0.0367916  -6.69513e-20
 -0.000819192       0.35066    -0.0387026  -5.42957e-20
 -0.000717172      0.374045    -0.0405835  -3.09705e-21
 -0.000615152      0.397444    -0.0424311   2.62813e-20
 -0.000513131      0.420712    -0.0442307   1.24221e-20
 -0.000411111      0.443853    -0.0459775    1.1174e-20
 -0.000309091       0.46672    -0.0476577  -1.89964e-20
 -0.000207071      0.489115    -0.0492564   1.19305e-22
 -0.000105051       0.51105    -0.0507664  -1.03095e-21
  -3.0303e-06      0.532497    -0.0521878  -3.37345e-21
  9.89899e-05      0.552752    -0.0534755  -1.07035e-20
   0.00020101      0.572409    -0.0546605    3.9114e-21
   0.00030303       0.59105    -0.0557174   1.45107e-20
  0.000405051      0.608504    -0.0566376     -1.92e-21
  0.000507071      0.624777    -0.0574164  -1.40895e-20
  0.000609091      0.639764     -0.058054   1.96446e-21
  0.000711111      0.653128    -0.0585167  -2.70973e-20
  0.000813131      0.665044    -0.0588455  -1.11201e-19
  0.000915152      0.675308    -0.0590033    2.7652e-20
   0.00101717      0.683883    -0.0590006  -2.95389e-20
   0.00111919      0.690692    -0.0588353   1.22631e-19
   0.00122121      0.695678     -0.058507  -6.43901e-20
   0.00132323      0.698813    -0.0580174  -8.40024e-20
   0.00142525      0.700102    -0.0573711   4.20923e-21
   0.00152727      0.699398     -0.056548   6.93543e-20
   0.00162929      0.697015     -0.055618   7.49486e-20
   0.00173131      0.692284      -0.05449  -1.93396e-20
   0.00183333       0.68589    -0.0532358  -9.23601e-20
   0.00193535      0.677658    -0.0518391   1.43847e-20
   0.00203737      0.667417    -0.0503214   1.29048e-19
   0.00213939      0.655585     -0.048679  -2.80071e-20
   0.00224141      0.641975     -0.046931  -5.02527e-20
   0.00234343      0.626363    -0.0450455   4.69628e-20
   0.00244545      0.609622    -0.0431011   1.29422e-20
   0.00254747      0.590834      -0.04104  -1.38712e-19
   0.00264949      0.571152    -0.0389365  -1.17678e-19
   0.00275152      0.549888    -0.0367672   4.02863e-20
   0.00285354      0.528186    -0.0346102    6.7577e-20
   0.00295556      0.504753    -0.0323551   1.12168e-20
   0.00305758      0.480904    -0.0301395   3.52511e-21
    0.0031596      0.455947    -0.0278666   1.93696e-21
   0.00326162      0.430026    -0.0256055   1.37687e-20
   0.00336364      0.403734    -0.0233544   1.59391e-20
   0.00346566      0.376923    -0.0211503   7.10449e-22
   0.00356768      0.349992    -0.0189972   3.39379e-20
    0.0036697      0.323123    -0.0169122   6.94143e-21
   0.00377172      0.295948     -0.014895  -3.47051e-20
   0.00387374      0.269271    -0.0129706   1.62624e-20
   0.00397576      0.243102    -0.0111563  -1.25989e-20
   0.00407778      0.216965   -0.00943367  -4.24193e-20
    0.0041798      0.191873    -0.0078543   1.99609e-20
   0.00428182      0.167535   -0.00639962   1.04606e-20
   0.00438384      0.144083   -0.00508024   1.40384e-20
   0.00448586      0.121624   -0.00390254   7.89929e-22
   0.00458788      0.100359   -0.00287513  -1.78686e-21
    0.0046899     0.0802817   -0.00200296   1.40325e-21
   0.00479192     0.0613932    -0.0012818  -4.10547e-21
   0.00489394     0.0439515  -0.000723671   1.30665e-21
   0.00499596     0.0278565  -0.000321187  -2.02752e-23
   0.00509798     0.0132459  -8.15238e-05  -3.02798e-23
       0.0052             0             0             0
