#           y           U_x           U_y           U_z
            0             0             0             0
  5.25253e-05     0.0573498     -0.007762  -1.42901e-20
  0.000105051     0.0912384    -0.0106743   -1.1797e-21
  0.000157576      0.124924    -0.0125255   1.48068e-20
  0.000210101      0.158065     -0.013529             0
  0.000262626      0.190473    -0.0140528             0
  0.000315152      0.222025    -0.0143022             0
  0.000367677      0.252655    -0.0144042             0
  0.000420202      0.282377    -0.0144385      1.09e-21
  0.000472727      0.310926    -0.0144547   3.20113e-20
  0.000525253      0.338521    -0.0144857  -9.78302e-22
  0.000577778       0.36536    -0.0145327  -4.82056e-20
  0.000630303      0.391252    -0.0146041  -7.53307e-20
  0.000682828      0.416113    -0.0147006  -1.49247e-20
  0.000735354      0.440591    -0.0148063   7.80119e-20
  0.000787879      0.463597    -0.0149365   5.99193e-20
  0.000840404      0.486461    -0.0150679    3.9532e-20
  0.000892929      0.507905    -0.0152102   5.26963e-22
  0.000945455      0.529349    -0.0153525   -3.8478e-20
   0.00099798      0.549164    -0.0154944  -8.26717e-21
   0.00105051      0.568956    -0.0156364    2.2881e-20
   0.00110303      0.587554    -0.0157707   2.52346e-20
   0.00115556      0.605577    -0.0159015   1.37057e-20
   0.00120808      0.623351    -0.0160297   2.00767e-21
   0.00126061      0.639467    -0.0161403  -1.08231e-20
   0.00131313      0.655582     -0.016251  -2.36539e-20
   0.00136566      0.671018    -0.0163527  -2.88202e-20
   0.00141818      0.685068     -0.016436  -1.83553e-20
   0.00147071      0.699119    -0.0165194  -7.89046e-21
   0.00152323      0.712618    -0.0165946             0
   0.00157576      0.724426    -0.0166447             0
   0.00162828      0.736235    -0.0166948             0
   0.00168081      0.748043    -0.0167449             0
   0.00173333      0.757774    -0.0167624  -4.73386e-21
   0.00178586      0.767145    -0.0167743  -1.02864e-20
   0.00183838      0.776517    -0.0167862   -1.5839e-20
   0.00189091      0.785577     -0.016793  -2.02332e-20
   0.00194343      0.792296    -0.0167622  -1.59191e-20
   0.00199596      0.799016    -0.0167314   -1.1605e-20
   0.00204848      0.805735    -0.0167005  -7.29095e-21
   0.00210101      0.812437    -0.0166694  -2.94852e-21
   0.00215354      0.816263    -0.0165898    5.9804e-21
   0.00220606       0.82009    -0.0165102   1.49093e-20
   0.00225859      0.823917    -0.0164307   2.38382e-20
   0.00231111      0.827743    -0.0163511   3.27671e-20
   0.00236364      0.830062    -0.0162459   3.54971e-20
   0.00241616      0.830752    -0.0161131   3.15358e-20
   0.00246869      0.831443    -0.0159802   2.75745e-20
   0.00252121      0.832133    -0.0158474   2.36132e-20
   0.00257374      0.832823    -0.0157145   1.96519e-20
   0.00262626      0.831924    -0.0155539   1.39171e-20
   0.00267879      0.829434    -0.0153654   6.40877e-21
   0.00273131      0.826944     -0.015177  -1.09953e-21
   0.00278384      0.824454    -0.0149886  -8.60783e-21
   0.00283636      0.821964    -0.0148001  -1.61161e-20
   0.00288889      0.817839    -0.0145834  -1.96718e-20
   0.00294141        0.8122    -0.0143405  -1.95657e-20
   0.00299394      0.806561    -0.0140977  -1.94595e-20
   0.00304646      0.800922    -0.0138548  -1.93534e-20
   0.00309899      0.795283    -0.0136119  -1.92472e-20
   0.00315152      0.786787    -0.0133235  -1.45939e-20
   0.00320404      0.778274    -0.0130349  -9.91246e-21
   0.00325657      0.769761    -0.0127462  -5.23103e-21
   0.00330909      0.761248    -0.0124576  -5.49607e-22
   0.00336162      0.750414    -0.0121335             0
   0.00341414      0.739272    -0.0118046             0
   0.00346667      0.728129    -0.0114758             0
   0.00351919      0.716633     -0.011142   3.03487e-22
   0.00357172      0.703092     -0.010779   2.36175e-21
   0.00362424      0.689551     -0.010416   4.42002e-21
   0.00367677       0.67601     -0.010053   6.47829e-21
   0.00372929      0.660828   -0.00966901   5.10563e-21
   0.00378182      0.645111   -0.00927817   2.61358e-21
   0.00383434      0.629394   -0.00888732   1.21527e-22
   0.00388687      0.612361   -0.00848225  -2.33925e-21
   0.00393939      0.594684    -0.0080702   -4.7847e-21
   0.00399192      0.577006   -0.00765815  -7.23015e-21
   0.00404444      0.557802   -0.00723369  -4.96741e-21
   0.00409697       0.53837   -0.00680738  -2.00128e-21
   0.00414949      0.518432   -0.00637875             0
   0.00420202      0.497445   -0.00594531             0
   0.00425455      0.476439   -0.00551187             0
   0.00430707      0.454084   -0.00507846             0
    0.0043596      0.431728   -0.00464505             0
   0.00441212      0.408283   -0.00421799             0
   0.00446465      0.384729    -0.0037916             0
   0.00451717      0.360146   -0.00337855             0
    0.0045697      0.335321   -0.00297067             0
   0.00462222      0.309848   -0.00257674             0
   0.00467475      0.283844   -0.00219949             0
   0.00472727      0.257435   -0.00183691             0
    0.0047798      0.230545   -0.00149483             0
   0.00483232      0.203115   -0.00118248             0
   0.00488485      0.175288  -0.000896977             0
   0.00493737      0.147063  -0.000642823             0
    0.0049899      0.118453  -0.000424048   1.65122e-22
   0.00504242     0.0894676  -0.000245418   3.32047e-24
   0.00509495     0.0600923  -0.000115042  -9.63572e-23
   0.00514747     0.0303953  -3.01622e-05             0
       0.0052             0             0             0
