#           y           U_x           U_y           U_z
      -0.0049             0             0             0
  -0.00479798    -0.0125427   3.96718e-05   1.92897e-22
  -0.00469596    -0.0241807    0.00015057  -4.49279e-22
  -0.00459394     -0.034942   0.000322341  -5.10447e-21
  -0.00449192    -0.0448101   0.000546986   3.59132e-20
   -0.0043899    -0.0537655   0.000814371    -5.297e-20
  -0.00428788    -0.0618526     0.0011139    1.3868e-20
  -0.00418586    -0.0689206    0.00143538   2.87378e-20
  -0.00408384    -0.0750534    0.00177139  -1.02667e-19
  -0.00398182    -0.0802357    0.00211085   1.20134e-19
   -0.0038798    -0.0844386    0.00244442    1.0479e-19
  -0.00377778    -0.0876547    0.00276285  -3.13313e-19
  -0.00367576    -0.0899061    0.00305817   8.04838e-20
  -0.00357374     -0.091213    0.00332547   9.50122e-20
  -0.00347172    -0.0914591    0.00355415  -2.18249e-20
   -0.0033697    -0.0906074    0.00372432   2.65302e-19
  -0.00326768    -0.0890069    0.00385278  -3.17115e-19
  -0.00316566    -0.0863076    0.00392155  -5.17648e-19
  -0.00306364    -0.0826084    0.00391025  -2.52519e-19
  -0.00296162    -0.0783422    0.00386149  -2.74609e-19
   -0.0028596    -0.0727347    0.00369997   -3.5281e-19
  -0.00275758    -0.0666533    0.00349892   4.54416e-19
  -0.00265556    -0.0592896    0.00319005   7.28504e-19
  -0.00255354    -0.0512072    0.00280805  -6.75744e-19
  -0.00245152    -0.0423774    0.00235788  -1.03276e-18
  -0.00234949     -0.032391    0.00178346   -3.5814e-19
  -0.00224747    -0.0217664    0.00114142   8.00997e-19
  -0.00214545    -0.0103772   0.000417658   6.73307e-19
  -0.00204343     0.0019773   -0.00040785   3.99117e-19
  -0.00194141     0.0151444   -0.00132556   2.63245e-19
  -0.00183939     0.0290739   -0.00232581  -1.61701e-18
  -0.00173737     0.0437982   -0.00341102   1.39668e-19
  -0.00163535     0.0593484   -0.00458347   9.01831e-20
  -0.00153333     0.0757549   -0.00584525    4.3597e-19
  -0.00143131     0.0929968   -0.00718195   8.93274e-19
  -0.00132929       0.11109   -0.00859772   -5.8013e-19
  -0.00122727      0.130048    -0.0100907  -2.97764e-20
  -0.00112525      0.149875    -0.0116568   2.06512e-19
  -0.00102323      0.170573    -0.0132903   9.38804e-20
 -0.000921212      0.192131    -0.0149826  -2.22067e-19
 -0.000819192       0.21451    -0.0167163  -5.19563e-19
 -0.000717172      0.237708    -0.0184924   1.21188e-19
 -0.000615152      0.261697    -0.0203025  -1.74525e-19
 -0.000513131      0.286447    -0.0221407   3.38372e-19
 -0.000411111      0.311878    -0.0239919   1.35519e-19
 -0.000309091      0.337902    -0.0258435             0
 -0.000207071      0.364441    -0.0276871   1.70106e-21
 -0.000105051      0.391387    -0.0295122             0
  -3.0303e-06      0.418786    -0.0313038   3.90564e-20
  9.89899e-05      0.445474    -0.0329645   1.10404e-19
   0.00020101      0.472598    -0.0346122  -2.18237e-20
   0.00030303      0.499481    -0.0361809  -3.27333e-19
  0.000405051       0.52592    -0.0376561    -1.939e-19
  0.000507071      0.551725    -0.0390262   9.25492e-20
  0.000609091      0.576703    -0.0402805   4.82394e-19
  0.000711111      0.600663    -0.0414101  -1.24661e-19
  0.000813131       0.62342    -0.0424073  -7.74977e-20
  0.000915152      0.644802    -0.0432662   1.28952e-19
   0.00101717      0.664649    -0.0439825   -1.3215e-19
   0.00111919      0.682819    -0.0445531   1.16321e-20
   0.00122121      0.699189    -0.0449764             0
   0.00132323      0.713655     -0.045252   4.65684e-20
   0.00142525      0.726135    -0.0453807     2.193e-19
   0.00152727      0.736566    -0.0453647  -4.00572e-21
   0.00162929      0.744751    -0.0452128   -2.5228e-19
   0.00173131      0.751221     -0.044911  -2.12362e-19
   0.00183333      0.754896    -0.0444515  -4.86141e-19
   0.00193535      0.756389     -0.043858   1.65836e-20
   0.00203737       0.75577    -0.0431379   5.03679e-19
   0.00213939      0.753008    -0.0422991   2.57077e-19
   0.00224141       0.74816    -0.0413369   2.91594e-20
   0.00234343      0.740542    -0.0402224             0
   0.00244545      0.731199     -0.039015  -5.50672e-21
   0.00254747      0.719696    -0.0377105  -1.22216e-19
   0.00264949       0.70549    -0.0362591  -2.93055e-20
   0.00275152      0.689683    -0.0347379   1.72279e-19
   0.00285354      0.671662    -0.0331239   2.18878e-19
   0.00295556      0.652036    -0.0314274   4.30045e-19
   0.00305758      0.630537    -0.0297005   2.36324e-19
    0.0031596      0.607437    -0.0278838  -3.99076e-20
   0.00326162      0.582811    -0.0260558  -2.38331e-19
   0.00336364      0.556334     -0.024141  -4.53982e-19
   0.00346566      0.528476    -0.0222153  -3.28807e-19
   0.00356768      0.498919    -0.0202534  -5.64339e-21
    0.0036697      0.468666    -0.0183028   1.68257e-19
   0.00377172      0.437101    -0.0163827   2.16533e-20
   0.00387374      0.404835    -0.0144909             0
   0.00397576      0.372064    -0.0126478  -1.43817e-20
   0.00407778      0.338878    -0.0108709  -1.47133e-19
    0.0041798      0.305524   -0.00919193   8.42085e-21
   0.00428182      0.272034   -0.00760206    4.7225e-20
   0.00438384      0.238796   -0.00612601   4.83833e-20
   0.00448586       0.20589   -0.00477905  -1.02155e-20
   0.00458788      0.173579   -0.00357933  -1.31062e-20
    0.0046899      0.142029   -0.00252618  -1.21332e-20
   0.00479192      0.111391   -0.00164693   7.11191e-21
   0.00489394     0.0817956  -0.000942546   9.53777e-21
   0.00499596     0.0532891   -0.00042586   2.18095e-21
   0.00509798      0.026074  -0.000109696  -6.35311e-22
       0.0052             0             0             0
