#           x wallShearS... wallShearS... wallShearS...
            0     -0.355304             0             0
     0.010101     -0.216224  -0.000967292             0
     0.020202     -0.149672   -0.00023087             0
     0.030303     -0.122706  -0.000128103             0
     0.040404     -0.106513  -8.42683e-05             0
    0.0505051    -0.0953737  -6.07064e-05             0
    0.0606061    -0.0871144  -4.63699e-05             0
    0.0707071    -0.0807067  -3.69491e-05             0
    0.0808081    -0.0755269  -3.03221e-05             0
    0.0909091    -0.0712227  -2.54455e-05             0
      0.10101    -0.0675784  -2.17447e-05             0
     0.111111    -0.0644505  -1.88715e-05             0
     0.121212    -0.0617145  -1.65697e-05             0
     0.131313    -0.0593011  -1.47005e-05             0
     0.141414    -0.0571536  -1.31599e-05             0
     0.151515    -0.0552194  -1.18648e-05             0
     0.161616    -0.0534758  -1.07744e-05             0
     0.171717    -0.0518839  -9.83676e-06             0
     0.181818    -0.0504299  -9.02992e-06             0
     0.191919    -0.0490898  -8.32523e-06             0
      0.20202     -0.047854   -7.7092e-06             0
     0.212121    -0.0467053  -7.16348e-06             0
     0.222222    -0.0456387  -6.68098e-06             0
     0.232323    -0.0446406  -6.24872e-06             0
     0.242424    -0.0437069   -5.8619e-06             0
     0.252525    -0.0428297  -5.51302e-06             0
     0.262626    -0.0420028  -5.19679e-06             0
     0.272727    -0.0412241  -4.91052e-06             0
     0.282828    -0.0404868  -4.64905e-06             0
     0.292929    -0.0397875  -4.40962e-06             0
      0.30303    -0.0391249  -4.19067e-06             0
     0.313131    -0.0384941  -3.98896e-06             0
     0.323232     -0.037893  -3.80269e-06             0
     0.333333    -0.0373197  -3.63054e-06             0
     0.343434    -0.0367724  -3.47117e-06             0
     0.353535    -0.0362486    -3.323e-06             0
     0.363636    -0.0357466  -3.18497e-06             0
     0.373737    -0.0352651  -3.05617e-06             0
     0.383838    -0.0348031  -2.93592e-06             0
     0.393939    -0.0343592  -2.82341e-06             0
      0.40404    -0.0339321  -2.71786e-06             0
     0.414141    -0.0335207   -2.6187e-06             0
     0.424242    -0.0331241   -2.5254e-06             0
     0.434343    -0.0327414  -2.43751e-06             0
     0.444444    -0.0323719  -2.35458e-06             0
     0.454545    -0.0320148  -2.27626e-06             0
     0.464646    -0.0316695  -2.20218e-06             0
     0.474747    -0.0313353  -2.13205e-06             0
     0.484848    -0.0310117  -2.06553e-06             0
     0.494949    -0.0306981  -2.00245e-06             0
     0.505051     -0.030394  -1.94251e-06             0
     0.515152    -0.0300989   -1.8855e-06             0
     0.525253    -0.0298124  -1.83124e-06             0
     0.535354    -0.0295341  -1.77955e-06             0
     0.545455    -0.0292636  -1.73026e-06             0
     0.555556    -0.0290005  -1.68321e-06             0
     0.565657    -0.0287445  -1.63825e-06             0
     0.575758    -0.0284953  -1.59527e-06             0
     0.585859    -0.0282526  -1.55415e-06             0
      0.59596    -0.0280161  -1.51477e-06             0
     0.606061    -0.0277855  -1.47702e-06             0
     0.616162    -0.0275606  -1.44081e-06             0
     0.626263    -0.0273411  -1.40607e-06             0
     0.636364    -0.0271269  -1.37272e-06             0
     0.646465    -0.0269179   -1.3407e-06             0
     0.656566    -0.0267137  -1.30992e-06             0
     0.666667    -0.0265141   -1.2803e-06             0
     0.676768    -0.0263189  -1.25176e-06             0
     0.686869     -0.026128  -1.22428e-06             0
      0.69697    -0.0259414  -1.19784e-06             0
     0.707071    -0.0257588  -1.17236e-06             0
     0.717172      -0.02558  -1.14776e-06             0
     0.727273    -0.0254049  -1.12402e-06             0
     0.737374    -0.0252334  -1.10111e-06             0
     0.747475    -0.0250655  -1.07899e-06             0
     0.757576    -0.0249009  -1.05759e-06             0
     0.767677    -0.0247394  -1.03693e-06             0
     0.777778    -0.0245812  -1.01697e-06             0
     0.787879     -0.024426  -9.97664e-07             0
      0.79798    -0.0242737  -9.78968e-07             0
     0.808081    -0.0241242  -9.60877e-07             0
     0.818182    -0.0239776  -9.43391e-07             0
     0.828283    -0.0238335  -9.26447e-07             0
     0.838384     -0.023692  -9.10015e-07             0
     0.848485    -0.0235531  -8.94134e-07             0
     0.858586    -0.0234165  -8.78726e-07             0
     0.868687    -0.0232822  -8.63844e-07             0
     0.878788    -0.0231503  -8.49417e-07             0
     0.888889    -0.0230204  -8.35418e-07             0
      0.89899    -0.0228929  -8.21902e-07             0
     0.909091    -0.0227672  -8.08804e-07             0
     0.919192    -0.0226437   -7.9613e-07             0
     0.929293     -0.022522  -7.83906e-07             0
     0.939394    -0.0224021  -7.72089e-07             0
     0.949495    -0.0222842  -7.60743e-07             0
     0.959596    -0.0221679  -7.49803e-07             0
     0.969697    -0.0220532  -7.39351e-07             0
     0.979798    -0.0219402  -7.29363e-07             0
     0.989899    -0.0218287  -7.19912e-07             0
            1    -0.0217186   -7.1104e-07             0
