#y		 #Re 100 (u)	  #Re 400 (u)
0        0            0 
0.0547  -0.0372      -0.0819
0.0625  -0.0419      -0.0927
0.0703  -0.0477      -0.1034
0.1016  -0.0643      -0.1461
0.1719  -0.1015      -0.2430
0.2812  -0.1566      -0.3273  
0.4531  -0.2109      -0.1712
0.5000  -0.2058      -0.1148  
0.6172  -0.1364       0.0214
0.7344   0.0033       0.1626
0.8516   0.2315       0.2909 
0.9531   0.6872       0.5589
0.9609   0.7372       0.6176
0.9688   0.7887       0.6844
0.9766   0.8412       0.7582
1	1	1
