# eta	(eq8 and7)					f(eta)						f'(eta)						Theta(eta) (eq 12)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000056e-01 2.350000000000000092e-03 4.696000000000000174e-02 9.586115311673784056e-01
2.000000000000000111e-01 9.390000000000000777e-03 9.390999999999999348e-02 9.172332656000776741e-01
2.999999999999999889e-01 2.112999999999999948e-02 1.408099999999999907e-01 8.758855849914314318e-01
4.000000000000000222e-01 3.755000000000000004e-02 1.876099999999999990e-01 8.346023818832684071e-01
5.000000000000000000e-01 5.863999999999999768e-02 2.342299999999999938e-01 7.934308774387339724e-01
5.999999999999999778e-01 8.439000000000000667e-02 2.805799999999999961e-01 7.524313007027030320e-01
6.999999999999999556e-01 1.147399999999999948e-01 3.265299999999999869e-01 7.116763679139406218e-01
8.000000000000000444e-01 1.496699999999999975e-01 3.719600000000000128e-01 6.712505124937536705e-01
9.000000000000000222e-01 1.891100000000000003e-01 4.167199999999999793e-01 6.312488662277052631e-01
1.000000000000000000e+00 2.329900000000000027e-01 4.606299999999999839e-01 5.917759442466008490e-01
1.100000000000000089e+00 2.812100000000000155e-01 5.035399999999999876e-01 5.529440132686223031e-01
1.199999999999999956e+00 3.336600000000000121e-01 5.452500000000000124e-01 5.148711586621426139e-01
1.300000000000000044e+00 3.902100000000000013e-01 5.855900000000000549e-01 4.776790746204009341e-01
1.399999999999999911e+00 4.507200000000000095e-01 6.243900000000000006e-01 4.414906252032191336e-01
1.500000000000000000e+00 5.150299999999999878e-01 6.614700000000000024e-01 4.064272333401168780e-01
1.600000000000000089e+00 5.829600000000000337e-01 6.966999999999999860e-01 3.726061642562209508e-01
1.699999999999999956e+00 6.542999999999999927e-01 7.299299999999999677e-01 3.401377784042680652e-01
1.800000000000000044e+00 7.288700000000000179e-01 7.610599999999999588e-01 3.091228737424297490e-01
1.899999999999999911e+00 8.064400000000000457e-01 7.900000000000000355e-01 2.796502312522635147e-01
2.000000000000000000e+00 8.868000000000000327e-01 8.166900000000000270e-01 2.517944399725455806e-01
2.200000000000000178e+00 1.054950000000000054e+00 8.632999999999999563e-01 2.011685170236606757e-01
2.399999999999999911e+00 1.231530000000000014e+00 9.010700000000000376e-01 1.574676978022520046e-01
2.600000000000000089e+00 1.414819999999999967e+00 9.305999999999999828e-01 1.206564889333012758e-01
2.799999999999999822e+00 1.603280000000000038e+00 9.528799999999999493e-01 9.042656812419413992e-02
3.000000000000000000e+00 1.795570000000000110e+00 9.690499999999999670e-01 6.624165168160445205e-02
3.200000000000000178e+00 1.990580000000000016e+00 9.803699999999999637e-01 4.740226650673995401e-02
3.399999999999999911e+00 2.187469999999999803e+00 9.879700000000000149e-01 3.311880915503706557e-02
3.600000000000000089e+00 2.385590000000000099e+00 9.928900000000000503e-01 2.258158618388661498e-02
3.799999999999999822e+00 2.584499999999999797e+00 9.959400000000000475e-01 1.501907636790578149e-02
4.000000000000000000e+00 2.783879999999999910e+00 9.977700000000000458e-01 9.739469881001272533e-03
4.200000000000000178e+00 2.983550000000000146e+00 9.988200000000000411e-01 6.154371098613831137e-03
4.400000000000000355e+00 3.183380000000000098e+00 9.993999999999999551e-01 3.786569533807848664e-03
4.599999999999999645e+00 3.383290000000000131e+00 9.997000000000000330e-01 2.265592412651562526e-03
4.799999999999999822e+00 3.583250000000000046e+00 9.998599999999999710e-01 1.315366462890543708e-03
5.000000000000000000e+00 3.783230000000000093e+00 9.999400000000000510e-01 7.379964777002312459e-04
5.200000000000000178e+00 3.983220000000000205e+00 9.999710000000000543e-01 3.968016473163693547e-04
5.400000000000000355e+00 4.183220000000000383e+00 9.999879999999999880e-01 2.007049658525605906e-04
5.599999999999999645e+00 4.383219999999999672e+00 9.999949999999999672e-01 9.109336503243525840e-05
5.799999999999999822e+00 4.583219999999999850e+00 9.999980000000000535e-01 3.150513916760910860e-05
6.000000000000000000e+00 4.783220000000000027e+00 9.999989999999999712e-01 0.000000000000000000e+00
