# y [mm]                 u [m/s] 
1.644736800000000110e-01 -1.290322600000000028e-02
4.934210500000000277e-01 -3.870967699999999789e-02
1.019736799999999999e+00 -6.451612900000000539e-02
1.546052600000000110e+00 -5.161290300000000164e-02
2.006578900000000054e+00 -5.161290300000000164e-02
2.532894699999999943e+00 -2.580645200000000056e-02
2.993421099999999946e+00 2.580645200000000056e-02
3.421052599999999888e+00 9.032258099999999901e-02
3.980263199999999557e+00 2.064516100000000076e-01
4.473684200000000111e+00 3.096774199999999810e-01
4.901315799999999889e+00 4.387096799999999908e-01
5.427631599999999779e+00 5.677419400000000005e-01
5.921052600000000332e+00 6.967741899999999600e-01
6.381578900000000054e+00 7.354838700000000395e-01
6.973684199999999223e+00 7.612903199999999648e-01
7.401315799999999889e+00 7.225806500000000465e-01
7.927631599999999779e+00 6.193548399999999621e-01
8.355263199999999557e+00 5.032258099999999956e-01
8.651315800000000777e+00 4.387096799999999908e-01
8.881578900000000942e+00 3.354838700000000173e-01
9.375000000000000000e+00 1.806451599999999991e-01
9.638157899999999501e+00 1.032258100000000012e-01
9.835526299999999722e+00 1.290322600000000028e-02
