#           y           U_x           U_y           U_z
      -0.0049             0             0             0
  -0.00479798    -0.0168437   1.68434e-05             0
  -0.00469596    -0.0319197   5.83105e-05  -7.13052e-22
  -0.00459394    -0.0453011   0.000112705  -5.86082e-22
  -0.00449192    -0.0569492   0.000167763   1.00352e-21
   -0.0043899    -0.0668903   0.000211517  -1.22534e-21
  -0.00428788     -0.075156   0.000236213   3.61701e-21
  -0.00418586    -0.0817353   0.000226307   4.75366e-21
  -0.00408384    -0.0866041   0.000176746  -1.36674e-20
  -0.00398182    -0.0898259   7.69895e-05  -2.51827e-21
   -0.0038798    -0.0914752  -7.93669e-05   9.12706e-21
  -0.00377778    -0.0915309   -0.00030137  -2.30834e-20
  -0.00367576    -0.0900893  -0.000588834   1.26742e-20
  -0.00357374    -0.0870485  -0.000961181   3.59001e-20
  -0.00347172    -0.0826607   -0.00141229  -8.55989e-23
   -0.0033697    -0.0769959   -0.00194066  -4.55999e-20
  -0.00326768    -0.0699505   -0.00255436   -5.4621e-20
  -0.00316566    -0.0617224   -0.00325835   5.65785e-20
  -0.00306364    -0.0524476   -0.00403261   8.10494e-20
  -0.00296162    -0.0418228   -0.00492138    2.0349e-20
   -0.0028596    -0.0306751   -0.00584752  -9.30857e-22
  -0.00275758    -0.0181008   -0.00690149  -1.29109e-20
  -0.00265556   -0.00513528   -0.00798796  -3.69615e-20
  -0.00255354    0.00936922   -0.00921581  -1.74469e-20
  -0.00245152     0.0242754     -0.010484  -7.25647e-22
  -0.00234949     0.0403164    -0.0118564             0
  -0.00224747     0.0569387    -0.0132914             0
  -0.00214545     0.0741592    -0.0147815   5.31147e-21
  -0.00204343     0.0922919    -0.0163613             0
  -0.00194141      0.110931    -0.0179917             0
  -0.00183939      0.130093    -0.0196702  -5.05757e-21
  -0.00173737      0.149948    -0.0214078    4.1763e-20
  -0.00163535      0.170371    -0.0231972  -1.93076e-20
  -0.00153333      0.191276    -0.0250245  -3.88119e-20
  -0.00143131       0.21265    -0.0268854    1.0711e-20
  -0.00132929      0.234468    -0.0287743   4.47466e-20
  -0.00122727      0.256694    -0.0306843  -1.14622e-20
  -0.00112525      0.279281    -0.0326077  -6.84862e-21
  -0.00102323      0.302177    -0.0345363   3.06124e-20
 -0.000921212      0.325321    -0.0364612   4.28152e-20
 -0.000819192      0.348647    -0.0383736  -7.92531e-20
 -0.000717172      0.372078    -0.0402636   1.65649e-20
 -0.000615152      0.395526    -0.0421199  -3.58175e-21
 -0.000513131      0.418913    -0.0439319   -3.4363e-20
 -0.000411111      0.442135    -0.0456882   5.49875e-20
 -0.000309091      0.465088    -0.0473799  -3.10184e-20
 -0.000207071      0.487663    -0.0489966   3.46512e-22
 -0.000105051      0.509742    -0.0505271    7.8382e-23
  -3.0303e-06      0.531332    -0.0519665  -2.22361e-22
  9.89899e-05      0.551641    -0.0532638   9.24403e-21
   0.00020101      0.571461    -0.0544686  -1.03384e-20
   0.00030303      0.590285    -0.0555466   6.31842e-21
  0.000405051      0.607968    -0.0564861  -2.23182e-20
  0.000507071      0.624426    -0.0572844   1.91056e-20
  0.000609091      0.639551    -0.0579357   6.39049e-20
  0.000711111      0.653241     -0.058435  -4.53036e-20
  0.000813131        0.6654    -0.0587778  -2.32589e-20
  0.000915152      0.675937    -0.0589606  -3.39525e-21
   0.00101717      0.684768    -0.0589805             0
   0.00111919      0.691817    -0.0588356             0
   0.00122121      0.697022     -0.058525  -2.25487e-20
   0.00132323      0.700332    -0.0580492  -1.73614e-21
   0.00142525      0.701714    -0.0574102   1.88234e-20
   0.00152727      0.701161    -0.0566119   8.24873e-21
   0.00162929      0.698696    -0.0556604  -5.33766e-22
   0.00173131      0.694377    -0.0545642   3.97796e-20
   0.00183333      0.688144    -0.0533187  -1.82118e-20
   0.00193535       0.68008    -0.0519506  -4.05403e-20
   0.00203737      0.669826    -0.0504196  -2.72342e-22
