#           y           U_x           U_y           U_z
      -0.0049             0             0             0
  -0.00479798    -0.0151546  -5.26805e-05   6.81865e-23
  -0.00469596    -0.0279953   -0.00020977    1.3807e-22
  -0.00459394    -0.0386041  -0.000471462  -2.99839e-23
  -0.00449192    -0.0469788  -0.000838246   -2.1088e-21
   -0.0043899    -0.0531577   -0.00131005  -6.06891e-22
  -0.00428788    -0.0572687   -0.00188585   5.04532e-21
  -0.00418586    -0.0592977   -0.00256021  -1.81703e-20
  -0.00408384    -0.0592975   -0.00334209   2.00767e-20
  -0.00398182    -0.0574277   -0.00422053  -9.34773e-22
   -0.0038798    -0.0537441    -0.0051945  -1.87425e-20
  -0.00377778     -0.048346   -0.00626079  -2.82551e-20
  -0.00367576    -0.0413757   -0.00741373    2.6393e-20
  -0.00357374    -0.0328127   -0.00866103   1.50248e-20
  -0.00347172    -0.0228513   -0.00999161  -5.08483e-20
   -0.0033697    -0.0114512    -0.0114031  -8.05732e-20
  -0.00326768   0.000912763    -0.0128751   5.67149e-20
  -0.00316566     0.0146568    -0.0144432    8.3757e-20
  -0.00306364     0.0292581    -0.0160555  -4.76171e-20
  -0.00296162     0.0445464    -0.0177117   -6.9703e-20
   -0.0028596     0.0608809    -0.0194447  -1.56957e-20
  -0.00275758     0.0776325    -0.0211947   1.61424e-20
  -0.00265556     0.0957033    -0.0230672   7.02616e-20
  -0.00255354      0.114134    -0.0249532   2.46971e-20
  -0.00245152      0.133156    -0.0268804   2.33124e-20
  -0.00234949      0.152781    -0.0288537   3.38522e-20
  -0.00224747       0.17273     -0.030845   1.22787e-19
  -0.00214545      0.193001    -0.0328446   9.85882e-21
  -0.00204343      0.213805    -0.0348961  -1.14283e-19
  -0.00194141      0.234778    -0.0369397   -3.6788e-20
  -0.00183939      0.255961    -0.0389868  -2.45891e-20
  -0.00173737      0.277313    -0.0410311   9.07786e-22
  -0.00163535      0.298745    -0.0430549   3.13737e-20
  -0.00153333      0.320231    -0.0450586  -2.14566e-21
  -0.00143131      0.341754    -0.0470482    5.7377e-20
  -0.00132929      0.363196    -0.0490012  -4.26302e-21
  -0.00122727      0.384484    -0.0509073  -8.36346e-20
  -0.00112525      0.405548    -0.0527578  -1.08348e-20
  -0.00102323      0.426314     -0.054544   5.62612e-21
