#           y           U_x           U_y           U_z
      -0.0049             0             0             0
  -0.00479798   0.000179455  -0.000114312  -2.35446e-23
  -0.00469596    0.00149787  -0.000438978   -5.9292e-23
  -0.00459394    0.00394085  -0.000950905  -2.32709e-22
  -0.00449192    0.00755344   -0.00163353   3.78805e-22
   -0.0043899     0.0123551   -0.00246683   1.00449e-22
  -0.00428788     0.0182514   -0.00343245  -3.62067e-22
  -0.00418586     0.0253162    -0.0045097  -2.04845e-21
  -0.00408384     0.0334404   -0.00568066   1.70201e-21
  -0.00398182     0.0426942   -0.00694198   2.15717e-21
   -0.0038798     0.0530188   -0.00827024   -1.1543e-23
  -0.00377778     0.0644133   -0.00965524   3.28942e-22
  -0.00367576     0.0767802    -0.0110842             0
  -0.00357374     0.0901659    -0.0125549  -4.11301e-21
  -0.00347172      0.104402    -0.0140513  -1.12724e-20
   -0.0033697       0.11936    -0.0155664  -5.98277e-21
  -0.00326768      0.135189     -0.017088  -6.27168e-21
  -0.00316566      0.151583    -0.0186084  -6.59865e-21
  -0.00306364      0.168347    -0.0201263   1.58659e-20
  -0.00296162      0.185731    -0.0216229   2.87988e-20
   -0.0028596      0.203694    -0.0231382   9.52082e-21
  -0.00275758      0.222016    -0.0246343  -2.45544e-20
  -0.00265556      0.240885    -0.0261306  -2.33612e-20
  -0.00255354      0.259861    -0.0276001   1.04305e-20
  -0.00245152      0.278977     -0.029047   1.89881e-20
  -0.00234949      0.298155    -0.0304486   5.75744e-22
  -0.00224747      0.317344    -0.0318223   6.09494e-21
  -0.00214545      0.336449    -0.0331586   4.47241e-21
  -0.00204343      0.355411    -0.0344524    -2.232e-21
  -0.00194141       0.37416    -0.0356987  -6.07682e-21
  -0.00183939      0.392605    -0.0368881   1.70383e-20
  -0.00173737      0.410646    -0.0380102   2.42979e-20
  -0.00163535      0.428309    -0.0390826  -8.71347e-21
  -0.00153333      0.445427    -0.0400819  -2.59539e-20
  -0.00143131      0.461967    -0.0410094  -3.26476e-21
  -0.00132929      0.477861    -0.0418602  -6.61551e-21
  -0.00122727      0.493037    -0.0426301  -3.75095e-21
  -0.00112525      0.507428    -0.0433149  -1.04435e-20
  -0.00102323      0.520966    -0.0439111   5.05531e-21
 -0.000921212      0.533591    -0.0444153  -1.05587e-21
 -0.000819192      0.545243     -0.044825   7.84448e-21
 -0.000717172      0.555873    -0.0451381    3.7096e-21
 -0.000615152      0.565438    -0.0453534   1.78767e-22
 -0.000513131      0.573742    -0.0454515   1.12675e-20
 -0.000411111      0.580822    -0.0454536   1.26772e-21
 -0.000309091      0.586653    -0.0453475  -3.65957e-21
 -0.000207071      0.591263    -0.0451418  -4.75633e-21
 -0.000105051      0.594665    -0.0448393   1.51034e-21
  -3.0303e-06      0.596686     -0.044423   6.54638e-22
  9.89899e-05      0.597158    -0.0439139  -2.57691e-21
   0.00020101      0.596441    -0.0433044  -2.28332e-21
   0.00030303      0.594531    -0.0426053   1.57663e-20
  0.000405051      0.591157    -0.0418067   2.08999e-21
  0.000507071      0.586308    -0.0409107   -1.2883e-20
  0.000609091       0.58021    -0.0399327   5.79653e-22
  0.000711111      0.572888    -0.0388793    4.4564e-21
  0.000813131      0.564347    -0.0377537             0
  0.000915152      0.554562    -0.0365599             0
   0.00101717      0.543513    -0.0353042   1.47773e-20
   0.00111919      0.531335    -0.0339877   2.31616e-21
   0.00122121      0.518138    -0.0326252   3.41395e-22
   0.00132323      0.503982    -0.0312235  -4.54867e-22
   0.00142525      0.488936    -0.0297897  -2.94002e-20
   0.00152727      0.473074    -0.0283311  -6.93141e-21
   0.00162929       0.45648    -0.0268552   5.21181e-21
   0.00173131      0.439233     -0.025371   3.42472e-20
   0.00183333       0.42139    -0.0238921   -3.2343e-22
   0.00193535      0.403062    -0.0224128  -1.52364e-20
   0.00203737      0.384377    -0.0209461  -5.27071e-21
   0.00213939      0.365429    -0.0194992   2.81779e-20
   0.00224141      0.346302    -0.0180772  -7.63306e-21
   0.00234343      0.327079    -0.0166939  -2.68158e-20
   0.00244545      0.307872    -0.0153568  -2.07503e-20
   0.00254747      0.288745    -0.0140562  -1.07552e-20
   0.00264949       0.26976    -0.0127966  -8.48153e-22
   0.00275152      0.251064    -0.0116074   1.06829e-21
   0.00285354      0.232736    -0.0104714   2.95866e-20
   0.00295556      0.214696   -0.00937792   4.53503e-20
   0.00305758      0.197229   -0.00837094   5.27123e-21
    0.0031596      0.180444   -0.00742458  -1.13003e-20
   0.00326162      0.164215   -0.00654038  -3.22224e-20
   0.00336364      0.148734   -0.00573457  -1.20253e-20
   0.00346566      0.133615   -0.00496334             0
   0.00356768      0.119226   -0.00427509             0
    0.0036697      0.105552   -0.00363963             0
   0.00377172     0.0925004   -0.00305561             0
   0.00387374     0.0803505   -0.00254482  -5.05597e-22
   0.00397576     0.0690329   -0.00208983             0
   0.00407778     0.0585217   -0.00168731  -3.94021e-21
    0.0041798     0.0488338   -0.00133626  -8.60447e-21
   0.00428182     0.0399981   -0.00103483   5.58829e-21
   0.00438384     0.0320228  -0.000779755   4.10608e-24
   0.00448586     0.0248989  -0.000567009    6.3035e-21
   0.00458788     0.0186822  -0.000394054   1.72464e-21
    0.0046899     0.0133633  -0.000259604  -1.29385e-21
   0.00479192    0.00891225  -0.000156329   3.66127e-22
   0.00489394    0.00534705  -8.24735e-05   9.50264e-23
   0.00499596    0.00267483  -3.43761e-05  -1.49387e-22
   0.00509798   0.000893963   -8.0696e-06  -3.11985e-23
       0.0052             0             0             0
