#           y           U_x           U_y           U_z
      -0.0049    0.00141428  -1.09916e-06             0
  -0.00479798     0.0203042  -0.000205459   2.95681e-23
  -0.00469596     0.0377577  -0.000796991  -5.42044e-22
  -0.00459394     0.0580639   -0.00169976  -3.23278e-21
  -0.00449192      0.079207   -0.00284594   1.05856e-20
   -0.0043899      0.102716   -0.00415174  -9.89827e-25
  -0.00428788      0.119235   -0.00576516  -2.98961e-20
  -0.00418586      0.128403   -0.00779129    1.6031e-20
  -0.00408384       0.14115   -0.00994492  -4.34759e-20
  -0.00398182      0.167473    -0.0115051  -2.04333e-23
   -0.0038798      0.177045     -0.014107  -2.73368e-21
  -0.00377778      0.189999     -0.016637   1.00874e-19
  -0.00367576      0.215773    -0.0181531  -1.35161e-19
  -0.00357374      0.237684    -0.0199286  -1.82257e-21
  -0.00347172      0.251251    -0.0227095   2.22951e-23
   -0.0033697      0.266253    -0.0254352  -7.50042e-20
  -0.00326768      0.283042    -0.0279722  -2.89831e-19
  -0.00316566      0.301339    -0.0302677    1.8327e-19
  -0.00306364      0.320861    -0.0322746   6.50797e-19
  -0.00296162       0.34133    -0.0339519  -1.04297e-19
   -0.0028596      0.362404    -0.0352855  -8.58754e-19
  -0.00275758      0.377549    -0.0380681   2.98394e-19
  -0.00265556      0.390635    -0.0414926   1.06673e-19
  -0.00255354      0.403163    -0.0452303   1.49375e-19
  -0.00245152      0.426065    -0.0452512   1.90878e-19
  -0.00234949      0.448103    -0.0449314  -4.04325e-19
  -0.00224747      0.458248    -0.0489203    1.6159e-19
  -0.00214545      0.470551    -0.0521106   5.51449e-20
  -0.00204343      0.491852    -0.0504713  -3.37862e-19
  -0.00194141      0.502523    -0.0533774  -7.38562e-20
  -0.00183939      0.513173    -0.0563027    4.0016e-20
  -0.00173737      0.531215    -0.0535655   1.30594e-19
  -0.00163535      0.536522    -0.0586322  -3.18329e-20
  -0.00153333      0.549446    -0.0574805  -1.04441e-19
  -0.00143131      0.557481    -0.0587221  -2.48288e-20
  -0.00132929      0.564795     -0.060498             0
  -0.00122727      0.572505    -0.0588198             0
  -0.00112525      0.576676    -0.0623837   -7.0402e-21
  -0.00102323       0.58169    -0.0589266  -2.11492e-20
 -0.000921212      0.584275    -0.0631014  -5.80169e-21
 -0.000819192      0.585342    -0.0590481   1.47731e-20
 -0.000717172      0.586809    -0.0626439   1.13552e-20
 -0.000615152      0.584005    -0.0591896   6.41781e-21
 -0.000513131      0.583556    -0.0610412   8.10259e-21
 -0.000411111       0.57845    -0.0593498     1.567e-20
 -0.000309091      0.573896    -0.0583674   1.20693e-20
 -0.000207071       0.56963     -0.059508  -6.05272e-21
 -0.000105051      0.557354    -0.0547424  -1.73705e-20
  -3.0303e-06      0.557947    -0.0592795   5.84821e-21
  9.89899e-05      0.539238    -0.0532209   3.17321e-20
   0.00020101      0.533843    -0.0541901    1.6704e-20
   0.00030303      0.522562    -0.0532581  -1.52892e-20
  0.000405051      0.503871    -0.0491667  -3.46265e-20
  0.000507071      0.503567     -0.052448  -1.44126e-20
  0.000609091      0.472985    -0.0454416  -1.41906e-21
  0.000711111      0.472352    -0.0481542    1.3717e-24
  0.000813131      0.446303    -0.0436822   4.84291e-25
  0.000915152      0.437121    -0.0436806   5.85072e-20
   0.00101717      0.416639    -0.0412134   1.79747e-19
   0.00111919      0.400977    -0.0396498   7.35638e-20
   0.00122121      0.383705    -0.0381166  -2.96841e-19
   0.00132323      0.365272     -0.036082  -3.09394e-19
   0.00142525      0.347465    -0.0345162   8.54487e-20
   0.00152727      0.331174    -0.0329583   5.32919e-20
   0.00162929      0.308116    -0.0305631  -3.87595e-19
   0.00173131      0.299621    -0.0302285   8.12093e-21
   0.00183333      0.266039    -0.0264207    9.8038e-19
   0.00193535      0.270315    -0.0276945  -3.00691e-20
   0.00203737      0.233278    -0.0236538  -8.98887e-19
   0.00213939      0.224632    -0.0231802   1.27933e-19
   0.00224141       0.21138     -0.021952   3.04677e-19
   0.00234343      0.178976    -0.0190461  -2.32142e-21
   0.00244545      0.177852     -0.018991  -3.13555e-19
   0.00254747      0.163469    -0.0176309  -1.48508e-19
   0.00264949      0.135833    -0.0154991   5.03641e-19
   0.00275152      0.127146    -0.0146807   4.62258e-19
   0.00285354      0.123438    -0.0139668   -5.9048e-20
   0.00295556      0.106353    -0.0125895  -4.07062e-19
   0.00305758     0.0870013    -0.0112935  -2.64872e-19
    0.0031596     0.0709737    -0.0102437   8.94072e-19
   0.00326162     0.0638091   -0.00940233   9.22911e-20
   0.00336364     0.0567707   -0.00853135   -6.3135e-19
   0.00346566     0.0490098   -0.00765605   8.53626e-20
   0.00356768     0.0407366   -0.00681667   9.83176e-20
    0.0036697      0.032162   -0.00604257  -2.51602e-19
   0.00377172     0.0234911   -0.00535289   1.98198e-19
   0.00387374     0.0149168   -0.00476032   1.96451e-19
   0.00397576    0.00726208   -0.00423043  -1.64449e-19
   0.00407778     0.0051772   -0.00345661   6.89497e-20
    0.0041798    0.00470327   -0.00263323  -6.26932e-20
   0.00428182   -0.00423205   -0.00248705   1.38994e-20
   0.00438384   -0.00411449   -0.00180573   1.32802e-22
   0.00448586   -0.00983489   -0.00162907             0
   0.00458788   -0.00879954   -0.00109507  -1.90017e-20
    0.0046899   -0.00876066  -0.000740394    7.4218e-21
   0.00479192   -0.00938595  -0.000515933  -6.00584e-21
   0.00489394   -0.00890599  -0.000320877  -1.04113e-25
   0.00499596   -0.00652555    -0.0001404   1.74116e-21
   0.00509798   -0.00384108  -3.94582e-05   9.90609e-23
       0.0052  -0.000281766  -4.85749e-07             0
