#           y           U_x           U_y           U_z
      -0.0049             0             0             0
  -0.00479798    -0.0125562    -0.0001331  -2.63765e-22
  -0.00469596    -0.0225238  -0.000517013  -1.00154e-21
  -0.00459394    -0.0299643   -0.00113431  -3.73697e-21
  -0.00449192    -0.0348918   -0.00197096    5.8124e-21
   -0.0043899    -0.0374144   -0.00300766  -6.23973e-21
  -0.00428788    -0.0376274   -0.00422655    3.0405e-20
  -0.00418586    -0.0355853   -0.00562728  -2.14806e-20
  -0.00408384    -0.0313912   -0.00717589  -1.92018e-20
  -0.00398182    -0.0251538    -0.0088857   3.22816e-20
   -0.0038798    -0.0171163    -0.0107251  -1.33549e-20
  -0.00377778    -0.0073603    -0.0126872  -1.58395e-21
  -0.00367576    0.00400207    -0.0147645  -6.34211e-20
  -0.00357374     0.0168323    -0.0169507   1.36722e-19
  -0.00347172     0.0308278    -0.0192149   2.46595e-19
   -0.0033697     0.0459134    -0.0215603  -2.21548e-19
  -0.00326768     0.0620638    -0.0239912  -3.10368e-19
  -0.00316566      0.079186     -0.026501   8.39134e-20
  -0.00306364     0.0970989    -0.0290727   3.25393e-19
  -0.00296162      0.115702    -0.0317002  -2.07972e-19
   -0.0028596      0.135036    -0.0344025  -1.56789e-19
  -0.00275758      0.154676    -0.0371015   1.81827e-19
  -0.00265556      0.174837    -0.0398485  -6.88044e-20
  -0.00255354       0.19534    -0.0426177  -3.35782e-20
  -0.00245152      0.216117    -0.0454012   1.06137e-19
  -0.00234949      0.237108     -0.048191   2.54248e-19
  -0.00224747      0.258255    -0.0509792   1.44091e-19
  -0.00214545      0.279504     -0.053758  -1.40062e-20
  -0.00204343      0.300766    -0.0565119   -1.9282e-19
  -0.00194141      0.322016    -0.0592339  -2.12471e-19
  -0.00183939      0.343178    -0.0619161  -6.05377e-20
  -0.00173737      0.364202    -0.0645515  -1.89415e-20
  -0.00163535       0.38505    -0.0671349  -6.54404e-20
  -0.00153333      0.405449    -0.0696155  -1.26896e-19
  -0.00143131       0.42555    -0.0720213  -1.71081e-19
  -0.00132929      0.445285    -0.0743473    -3.119e-20
  -0.00122727      0.464398    -0.0765526   1.34315e-19
  -0.00112525      0.482847     -0.078621   2.26303e-19
  -0.00102323      0.500779    -0.0805915   1.42351e-19
 -0.000921212      0.517784    -0.0823991   4.26771e-20
 -0.000819192      0.533865    -0.0840366   1.69195e-20
 -0.000717172      0.549405    -0.0855789  -4.25467e-22
 -0.000615152      0.563274    -0.0868489  -1.16141e-20
 -0.000513131      0.576485    -0.0880038   2.97116e-22
 -0.000411111      0.588351    -0.0889507   1.37005e-22
 -0.000309091      0.598917    -0.0896867  -2.49212e-20
 -0.000207071      0.608478     -0.090276  -2.52927e-20
 -0.000105051      0.616176    -0.0905726  -3.67161e-20
  -3.0303e-06      0.623045     -0.090729  -4.76579e-20
  9.89899e-05      0.627767    -0.0906309  -3.02761e-20
   0.00020101      0.631713    -0.0903964  -5.22397e-21
   0.00030303      0.633671    -0.0898714   4.94922e-20
  0.000405051      0.634684    -0.0891925   9.99297e-20
  0.000507071      0.633654    -0.0882701   5.53498e-20
  0.000609091      0.632062    -0.0872499  -6.28535e-20
  0.000711111      0.627505    -0.0858558   -8.1333e-20
  0.000813131      0.622549    -0.0844036  -5.83516e-20
  0.000915152      0.615339     -0.082681  -3.92119e-20
   0.00101717       0.60709    -0.0808273  -6.21709e-22
   0.00111919      0.597415    -0.0788123   6.55212e-20
   0.00122121      0.586057    -0.0766022   2.81409e-20
   0.00132323      0.573825    -0.0742956  -2.13085e-20
   0.00142525      0.559927    -0.0718193  -1.18432e-19
   0.00152727      0.544916    -0.0692266  -2.90639e-20
   0.00162929      0.529026    -0.0665491   4.73759e-20
   0.00173131      0.511835    -0.0637602  -4.25477e-20
   0.00183333      0.493712    -0.0608903  -1.45433e-19
   0.00193535      0.474863    -0.0579665  -6.42965e-21
   0.00203737      0.455301    -0.0549942   3.42959e-19
   0.00213939      0.434892    -0.0519867   3.41546e-19
   0.00224141      0.414014    -0.0489595  -5.83405e-20
   0.00234343       0.39273    -0.0459296   -3.2584e-19
   0.00244545      0.371119    -0.0429087  -6.61007e-20
   0.00254747      0.349441    -0.0399618   2.06913e-19
   0.00264949      0.327402    -0.0369804   2.30447e-20
   0.00275152      0.305486    -0.0340875   -1.3053e-19
   0.00285354      0.283693      -0.03126  -1.17722e-19
   0.00295556       0.26212    -0.0285093   1.91772e-19
   0.00305758      0.240862    -0.0258459   2.76856e-19
    0.0031596      0.220188    -0.0233114     -4.65e-20
   0.00326162      0.199999    -0.0208664  -1.86457e-19
   0.00336364      0.180433    -0.0185503  -3.46703e-20
   0.00346566      0.161565    -0.0163591             0
   0.00356768      0.143527    -0.0143063             0
    0.0036697      0.126393    -0.0123976  -8.15991e-21
   0.00377172      0.110731    -0.0107013  -7.00141e-20
   0.00387374     0.0951838   -0.00903399   1.81947e-20
   0.00397576     0.0809412   -0.00755385   1.08828e-19
   0.00407778     0.0677688   -0.00621754   -2.9557e-20
    0.0041798     0.0557002   -0.00502388   3.41037e-20
   0.00428182     0.0447507   -0.00397557  -4.94991e-20
   0.00438384     0.0349955   -0.00306417   4.98496e-20
   0.00448586     0.0264599   -0.00228696  -2.84311e-20
   0.00458788     0.0190207    -0.0016327  -1.12666e-20
    0.0046899     0.0128571    -0.0011014  -5.40528e-21
   0.00479192    0.00787058  -0.000685092   4.10995e-21
   0.00489394    0.00418908  -0.000376047   5.21186e-21
   0.00499596    0.00151424  -0.000162033  -9.49025e-22
   0.00509798   0.000153706  -4.00516e-05   3.24714e-22
       0.0052  -6.97138e-18  -4.32358e-20             0
