#           y           U_x           U_y           U_z
      -0.0049             0             0             0
  -0.00479798    0.00433129  -0.000221874   8.65285e-23
  -0.00469596     0.0116462  -0.000828174  -2.30067e-22
  -0.00459394     0.0152821   -0.00189469   9.92035e-22
  -0.00449192     0.0265965   -0.00307949   9.57385e-22
   -0.0043899     0.0340229   -0.00472342   -2.6586e-21
  -0.00428788     0.0459662   -0.00636208   2.78947e-21
  -0.00418586     0.0516557   -0.00879894  -3.72977e-21
  -0.00408384      0.064903    -0.0109445  -9.69055e-21
  -0.00398182     0.0765663    -0.0134414   1.09165e-20
   -0.0038798     0.0941117    -0.0153473  -7.40756e-21
  -0.00377778      0.108139    -0.0180819  -1.81407e-20
  -0.00367576      0.121592    -0.0212685   2.50922e-20
  -0.00357374      0.138028    -0.0240438   2.81786e-20
  -0.00347172      0.155331    -0.0268403  -2.41953e-20
   -0.0033697      0.173327      -0.02968   -4.8774e-20
  -0.00326768      0.191872    -0.0325446   3.93508e-20
  -0.00316566      0.210871    -0.0354225   -3.8371e-20
  -0.00306364      0.230227    -0.0383022   3.93697e-20
  -0.00296162      0.249847    -0.0411725  -3.39347e-20
   -0.0028596      0.270357    -0.0434504   4.07107e-20
  -0.00275758      0.291178    -0.0453212  -2.70745e-20
  -0.00265556      0.311367    -0.0475538  -1.76687e-20
  -0.00255354      0.329832    -0.0516762   4.53118e-20
  -0.00245152         0.349    -0.0549888  -1.68986e-21
  -0.00234949      0.368399     -0.057597  -3.17729e-20
  -0.00224747      0.387831    -0.0595563  -8.71262e-21
  -0.00214545      0.407498    -0.0600554   1.42214e-20
  -0.00204343      0.424801    -0.0649163   1.62739e-20
  -0.00194141      0.442468    -0.0671516  -2.80672e-20
  -0.00183939      0.460152    -0.0673841  -3.44301e-20
  -0.00173737      0.476567    -0.0708537   1.73744e-20
  -0.00163535      0.492132    -0.0731539   1.34352e-21
  -0.00153333      0.507237    -0.0724698   8.29148e-21
  -0.00143131      0.521649    -0.0764917   3.38324e-21
  -0.00132929      0.534506    -0.0778682   3.88843e-21
  -0.00122727      0.546611    -0.0771426   1.86726e-20
  -0.00112525      0.558068     -0.080205   3.00483e-21
  -0.00102323      0.567034     -0.077958   -1.9861e-20
 -0.000921212        0.5772    -0.0818285  -1.96273e-20
 -0.000819192      0.583586     -0.080267  -3.06816e-20
 -0.000717172      0.591429    -0.0826862  -5.39953e-21
 -0.000615152      0.595034    -0.0811651   6.33516e-22
 -0.000513131      0.600379    -0.0827438   7.15384e-21
 -0.000411111      0.600854    -0.0806951   1.22205e-20
 -0.000309091      0.603801    -0.0819902    2.5352e-21
 -0.000207071       0.60068    -0.0789642  -1.00363e-23
 -0.000105051      0.601598    -0.0804374   1.89005e-23
  -3.0303e-06      0.594723    -0.0764453   1.12772e-21
  9.89899e-05      0.593917    -0.0781362   1.57248e-22
   0.00020101       0.58722     -0.075731   6.92366e-23
   0.00030303      0.581179    -0.0751665  -1.51852e-22
  0.000405051      0.573941    -0.0735954  -4.15372e-22
  0.000507071      0.562366    -0.0708831  -1.85099e-21
  0.000609091      0.553552    -0.0696587  -1.15137e-21
  0.000711111      0.539074    -0.0663531   5.55765e-22
  0.000813131      0.528816    -0.0652328  -2.33503e-20
  0.000915152      0.512217    -0.0617996   -3.1363e-20
   0.00101717       0.50017    -0.0604087  -2.91003e-21
   0.00111919      0.482392    -0.0571778  -5.11816e-21
