# y [mm]                 u [m/s] 
4.785478499999999968e+00 2.622950799999999860e-02
5.049504999999999910e+00 1.704917999999999989e-01
5.214521500000000032e+00 2.754098400000000169e-01
5.445544599999999846e+00 3.934426200000000207e-01
5.676567699999999661e+00 4.983606600000000109e-01
5.940594099999999322e+00 6.163934399999999592e-01
6.435643600000000575e+00 7.475409800000000216e-01
6.996699700000000632e+00 8.262295100000000003e-01
7.260726100000000294e+00 8.393442599999999532e-01
7.392739299999999680e+00 8.393442599999999532e-01
7.590759099999999648e+00 8.393442599999999532e-01
7.755775600000000658e+00 8.393442599999999532e-01
7.953795399999999738e+00 8.000000000000000444e-01
8.415841600000000255e+00 6.819672100000000459e-01
8.910891100000000620e+00 5.114754099999999637e-01
9.174917499999999393e+00 3.803278700000000123e-01
9.405940599999999208e+00 2.885245900000000252e-01
9.636963699999999022e+00 1.573770499999999906e-01
