# y [mm]                 u [m/s] 
9.901315800000000777e+00 1.290322600000000028e-02
9.671052600000001220e+00 2.580645200000000056e-02
9.407894699999999943e+00 3.870967699999999789e-02
8.914473700000000278e+00 6.451612900000000539e-02
8.651315800000000777e+00 1.290322600000000097e-01
8.388157899999999501e+00 1.677419400000000060e-01
7.993421100000000834e+00 2.193548399999999954e-01
7.467105300000000057e+00 3.225806500000000243e-01
6.973684199999999223e+00 4.258064500000000030e-01
6.480263199999999557e+00 5.032258099999999956e-01
5.986842099999999611e+00 5.677419400000000005e-01
5.427631599999999779e+00 6.193548399999999621e-01
4.934210499999999833e+00 6.193548399999999621e-01
4.440789500000000167e+00 5.806451599999999935e-01
3.947368400000000221e+00 5.290322600000000319e-01
3.453947400000000112e+00 4.387096799999999908e-01
2.993421099999999946e+00 3.612903199999999981e-01
2.467105300000000057e+00 2.451612900000000039e-01
2.006578900000000054e+00 2.322580599999999884e-01
1.480263200000000001e+00 1.161290299999999942e-01
1.019736799999999999e+00 3.870967699999999789e-02
5.592105299999999835e-01 2.580645200000000056e-02
2.302631599999999945e-01 2.580645200000000056e-02
